2019-03-31 21:22:50,678 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2019-03-31 21:52:29,488 : INFO : EPOCH 1 - PROGRESS: at 1.89% examples, 42814 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:30,618 : INFO : EPOCH 1 - PROGRESS: at 2.00% examples, 44489 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:32,861 : INFO : EPOCH 1 - PROGRESS: at 2.04% examples, 44021 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:33,873 : INFO : EPOCH 1 - PROGRESS: at 2.09% examples, 43960 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:35,148 : INFO : EPOCH 1 - PROGRESS: at 2.09% examples, 43364 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:36,310 : INFO : EPOCH 1 - PROGRESS: at 2.11% examples, 43072 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:52:37,314 : INFO : EPOCH 1 - PROGRESS: at 2.20% examples, 44799 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:38,568 : INFO : EPOCH 1 - PROGRESS: at 2.26% examples, 45116 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:39,693 : INFO : EPOCH 1 - PROGRESS: at 2.28% examples, 44856 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:52:44,738 : INFO : EPOCH 1 - PROGRESS: at 2.35% examples, 43650 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:52:45,763 : INFO : EPOCH 1 - PROGRESS: at 2.42% examples, 44744 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:49,107 : INFO : EPOCH 1 - PROGRESS: at 2.44% examples, 43456 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:50,180 : INFO : EPOCH 1 - PROGRESS: at 2.56% examples, 45226 words/s, in_qsize 0, out_qsize 1
2019-03-31 21:52:51,181 : INFO : EPOCH 1 - PROGRESS: at 2.64% examples, 46560 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:52,871 : INFO : EPOCH 1 - PROGRESS: at 2.69% examples, 46383 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:54,240 : INFO : EPOCH 1 - PROGRESS: at 2.73% examples, 46144 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:55,555 : INFO : EPOCH 1 - PROGRESS: at 2.74% examples, 45657 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:52:57,432 : INFO : EPOCH 1 - PROGRESS: at 2.84% examples, 46417 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:52:58,479 : INFO : EPOCH 1 - PROGRESS: at 2.92% examples, 47104 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:02,363 : INFO : EPOCH 1 - PROGRESS: at 2.95% examples, 46021 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:05,608 : INFO : EPOCH 1 - PROGRESS: at 2.95% examples, 44583 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:06,631 : INFO : EPOCH 1 - PROGRESS: at 3.15% examples, 47235 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:08,113 : INFO : EPOCH 1 - PROGRESS: at 3.19% examples, 47200 words/s, in_qsize 0, out_qsize 1
2019-03-31 21:53:09,773 : INFO : EPOCH 1 - PROGRESS: at 3.24% examples, 47354 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:11,122 : INFO : EPOCH 1 - PROGRESS: at 3.24% examples, 46827 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:12,213 : INFO : EPOCH 1 - PROGRESS: at 3.29% examples, 47189 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:13,822 : INFO : EPOCH 1 - PROGRESS: at 3.33% examples, 47007 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:15,169 : INFO : EPOCH 1 - PROGRESS: at 3.41% examples, 47508 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:16,643 : INFO : EPOCH 1 - PROGRESS: at 3.46% examples, 47828 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:18,971 : INFO : EPOCH 1 - PROGRESS: at 3.55% examples, 48079 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:21,557 : INFO : EPOCH 1 - PROGRESS: at 3.56% examples, 47040 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:23,192 : INFO : EPOCH 1 - PROGRESS: at 3.67% examples, 47799 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:24,386 : INFO : EPOCH 1 - PROGRESS: at 3.71% examples, 47651 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:53:27,057 : INFO : EPOCH 1 - PROGRESS: at 3.85% examples, 48173 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:28,955 : INFO : EPOCH 1 - PROGRESS: at 3.87% examples, 47832 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:31,506 : INFO : EPOCH 1 - PROGRESS: at 3.95% examples, 47980 words/s, in_qsize 0, out_qsize 0
