2019-04-02 22:59:50,211 : INFO : loading wv recursively from models/enwiki-full-dict-99999.model.wv.* with mmap=None
2019-04-02 22:59:50,220 : INFO : loading vectors from models/enwiki-full-dict-99999.model.wv.vectors.npy with mmap=None
2019-04-02 22:59:51,319 : INFO : setting ignored attribute vectors_norm to None
2019-04-02 22:59:51,333 : INFO : loading trainables recursively from models/enwiki-full-dict-99999.model.trainables.* with mmap=None
2019-04-02 22:59:51,336 : INFO : loading syn1neg from models/enwiki-full-dict-99999.model.trainables.syn1neg.npy with mmap=None
2019-04-02 22:59:52,357 : INFO : loading vocabulary recursively from models/enwiki-full-dict-99999.model.vocabulary.* with mmap=None
2019-04-02 22:59:52,359 : INFO : setting ignored attribute cum_table to None
2019-04-02 22:59:52,360 : INFO : loaded models/enwiki-full-dict-99999.model
2019-04-02 22:59:55,391 : WARNING : Effective 'alpha' higher than previous training cycles
2019-04-02 22:59:55,393 : INFO : training model with 10 workers on 1343016 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=5
2019-04-02 23:01:06,136 : INFO : EPOCH 1 - PROGRESS: at 4.12% examples, 34884 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:01:07,195 : INFO : EPOCH 1 - PROGRESS: at 4.24% examples, 35480 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:01:08,603 : INFO : EPOCH 1 - PROGRESS: at 4.31% examples, 35139 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:01:09,949 : INFO : EPOCH 1 - PROGRESS: at 4.38% examples, 34911 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:01:11,448 : INFO : EPOCH 1 - PROGRESS: at 4.49% examples, 35512 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:01:12,711 : INFO : EPOCH 1 - PROGRESS: at 4.63% examples, 36159 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:01:15,949 : INFO : EPOCH 1 - PROGRESS: at 4.69% examples, 35124 words/s, in_qsize 4, out_qsize 0
2019-04-02 23:01:17,034 : INFO : EPOCH 1 - PROGRESS: at 4.89% examples, 36198 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:01:18,376 : INFO : EPOCH 1 - PROGRESS: at 4.94% examples, 36110 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:01:20,225 : INFO : EPOCH 1 - PROGRESS: at 5.11% examples, 36677 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:01:21,248 : INFO : EPOCH 1 - PROGRESS: at 5.24% examples, 37062 words/s, in_qsize 0, out_qsize 0
2019-04-02 23:01:23,329 : INFO : EPOCH 1 - PROGRESS: at 5.31% examples, 36481 words/s, in_qsize 0, out_qsize 0
