2019-04-02 18:36:05,547 : INFO : loading trainables recursively from models/enwiki-full-dict-99999.model.trainables.* with mmap=None
2019-04-02 18:36:05,556 : INFO : loading syn1neg from models/enwiki-full-dict-99999.model.trainables.syn1neg.npy with mmap=None
2019-04-02 18:36:06,635 : INFO : loading vocabulary recursively from models/enwiki-full-dict-99999.model.vocabulary.* with mmap=None
2019-04-02 18:36:06,642 : INFO : loading wv recursively from models/enwiki-full-dict-99999.model.wv.* with mmap=None
2019-04-02 18:36:06,649 : INFO : loading vectors from models/enwiki-full-dict-99999.model.wv.vectors.npy with mmap=None
2019-04-02 18:36:07,652 : INFO : setting ignored attribute vectors_norm to None
2019-04-02 18:36:07,654 : INFO : setting ignored attribute cum_table to None
2019-04-02 18:36:07,655 : INFO : loaded models/enwiki-full-dict-99999.model
2019-04-02 18:36:10,654 : WARNING : Effective 'alpha' higher than previous training cycles
2019-04-02 18:36:10,656 : INFO : training model with 10 workers on 1343016 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=5
2019-04-02 18:37:25,497 : INFO : EPOCH 1 - PROGRESS: at 6.55% examples, 42710 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:26,751 : INFO : EPOCH 1 - PROGRESS: at 6.55% examples, 42081 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:30,159 : INFO : EPOCH 1 - PROGRESS: at 6.65% examples, 41509 words/s, in_qsize 4, out_qsize 0
2019-04-02 18:37:31,212 : INFO : EPOCH 1 - PROGRESS: at 6.82% examples, 42768 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:32,628 : INFO : EPOCH 1 - PROGRESS: at 6.83% examples, 42221 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:35,128 : INFO : EPOCH 1 - PROGRESS: at 6.86% examples, 41376 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:36,638 : INFO : EPOCH 1 - PROGRESS: at 7.10% examples, 43071 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:37,647 : INFO : EPOCH 1 - PROGRESS: at 7.20% examples, 43271 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:39,259 : INFO : EPOCH 1 - PROGRESS: at 7.22% examples, 42606 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:40,726 : INFO : EPOCH 1 - PROGRESS: at 7.39% examples, 43854 words/s, in_qsize 0, out_qsize 0
